latitude,longitude,month,day,avg_temp,max_temp,max_wind_speed,avg_wind,burned_area
37.7261321,126.9776057,02-Feb,00-sun,-8.2,-2.9,9.9,2,0.06
37.9229965,126.9790593,06-Jun,01-mon,21.2,29.6,6.7,1.5,0.33
37.7938312,127.0438556,06-Jun,06-sat,18.8,26.1,8.9,2.4,0.15
37.7113728,126.9728405,03-Mar,04-thu,8.5,16.3,5.3,1.1,0.1
37.8085448,127.0385807,03-Mar,03-wed,3.2,12.5,5.9,1.1,0.3
37.764601,127.0588213,03-Mar,05-fri,1.9,11.1,8,1.5,0.1
37.4362129,127.4778908,11-Nov,01-mon,5.3,12.4,5.3,0.9,0.06
37.4757839,127.3895827,08-Aug,05-fri,25.7,32.4,7.8,2.8,0.2
37.569384,127.6570334,08-Aug,02-tue,29.5,35.2,7.7,1.3,0.02
37.5350617,127.3652359,06-Jun,05-fri,23.3,31.9,7.3,1.5,0.03
37.5104189,127.6078616,04-Apr,06-sat,18.4,28.8,7.6,1.5,0.6
37.525641,127.6123237,03-Mar,01-mon,10.8,20.1,7.3,1.3,0.5
37.5534407,127.4819679,03-Mar,05-fri,5.6,14,6.1,1.4,0.1
37.4827468,127.4541581,03-Mar,00-sun,6.4,12.8,7.9,1.5,0.06
37.4891179,127.578545,11-Nov,04-thu,0.6,7.5,5.7,1.3,0.15
37.4043993,127.7435804,11-Nov,04-thu,0.6,7.5,5.7,1.3,0.07
37.6073225,127.3629607,06-Jun,05-fri,26.9,34.7,7.4,1.6,0.1
37.5003031,127.5102624,05-May,01-mon,19.7,27.7,5.5,1.5,0.1
37.4507244,127.4866786,04-Apr,01-mon,14.3,22.7,7.8,1.9,0.1
37.479617,127.5378745,04-Apr,01-mon,14.6,22.3,7.4,2.1,0.2
37.6445667,127.3869049,04-Apr,02-tue,12.6,22.7,8,1.4,0.9
37.4126229,127.5391983,03-Mar,03-wed,8.1,15.5,5.7,1.4,0.26
37.5120295,127.3834769,03-Mar,03-wed,8.1,15.5,5.7,1.4,0.5
37.4472633,127.6156794,03-Mar,05-fri,7.6,14.6,5.5,1.1,0.01
37.4331867,127.4579112,03-Mar,04-thu,8.9,15.4,7,1.7,1
37.4402496,127.404566,03-Mar,00-sun,8.7,19.4,4.6,1.1,1.3
37.5745923,127.4232413,03-Mar,06-sat,8.8,16.9,9,1.7,2
37.410827,127.7196237,03-Mar,04-thu,5.7,13.6,6.1,1.5,0.1
37.4943311,127.5887121,03-Mar,06-sat,5.8,15.8,5.8,1.2,0.3
37.5654543,127.3707611,03-Mar,05-fri,4.2,12.3,7.5,1.7,0.1
37.5150992,127.3798126,02-Feb,06-sat,-0.9,4.2,9.6,3,0.06
37.464819,127.5833054,02-Feb,03-wed,-0.6,7.3,3.9,0.7,0.01
37.3586612,127.5933464,04-Apr,05-fri,12.4,20.6,7.9,1.5,0.5
37.2138093,127.7366228,04-Apr,02-tue,17.9,25.4,8,1.4,0.5
37.4320986,127.4954099,03-Mar,06-sat,14.4,22.6,7.5,1.4,0.5
37.3646202,127.6500318,05-May,03-wed,20.1,30.7,7.5,1.2,0.5
37.1746394,127.6779505,04-Apr,05-fri,13.6,20.4,16.6,2.4,0.4
37.4188786,127.5179398,03-Mar,04-thu,9.7,19.2,5.9,1.3,0.16
37.4112389,127.6023259,03-Mar,06-sat,8.5,17.8,9.1,1.8,0.3
38.0120482,127.0480767,04-Apr,00-sun,16.6,27.2,7.4,1.6,0.1
38.1702467,127.1291368,01-Jan,00-sun,-8.8,0,4.7,0.8,0.2
37.1515987,127.0534904,04-Apr,00-sun,18.6,28.4,7.5,2,0.7
